AirlineID,Airline Code,Airline,Country,Carrier Code
1,1,AMERICAN AIRLINES INC.,UNITED STATES,AA
2,5,"CONTINENTAL AIRLINES, INC.",UNITED STATES,CO
3,6,"DELTA AIR LINES, INC.",UNITED STATES,DL
4,12,"NORTHWEST AIRLINES, INC.",UNITED STATES,NW
5,14,AIR CANADA,CANADA,AC
6,16,"UNITED AIRLINES, INC.",UNITED STATES,UA
7,20,LUFTHANSA CARGO AG.,GERMANY,LH
8,23,FEDEX,UNITED STATES,FX
9,43,HONG KONG DRAGON AIRLINES LIMITED.,HONG KONG,KA
10,55,ALITALIA-COMPAGNIA AEREA ITALIANA S.P.,ITALY,AZ
11,57,AIR FRANCE,FRANCE,AF
12,63,AIR CALEDONIE INTERNATIONAL,CALEDONIA,SB
13,74,KLM ROYAL DUTCH AIRLINES,NETHERLANDS,KL
14,77,EGYPTAIR,EGYPT,MS
15,79,"PHILIPPINE AIRLINES, INC.",PHILIPPINES,PR
16,81,QANTAS AIRWAYS LTD.,AUSTRALIA,QF
17,86,AIR NEW ZEALAND LTD.,NEW ZEALAND,NZ
18,96,IRAN-AIR,IRAN,IR
19,98,AIR INDIA LTD.,INDIA,AI
20,105,FINNAIR O/Y,FINLAND,AY
21,117,SCANDINAVIAN AIRLINES SYSTEM(SAS),SWEDEN,SK
22,125,BRITISH AIRWAYS P.L.C.,UNITED KINGDOM,BA
23,126,GARUDA INDONESIA,INDONESIA,GA
24,131,JAPAN AIRLINES CO. LTD,JAPAN,JL
25,139,AEROMEXICO,MEXICO,AM
26,160,CATHAY PACIFIC AIRWAYS LTD.,CHINA,CX
27,172,CARGOLUX AIRLINES INT?L S.A.,LUXEMBURG,CV
28,176,EMIRATES SKY CARGO,U.A.E.,EK
29,180,"KOREAN AIR LINES CO.,LTD.",KOREA,KE
30,205,"ALL NIPPON AIRWAYS CO., LTD.",JAPAN,NH
31,214,PAKISTAN INT?L AIRLINES,PAKISTAN,PK
32,217,"THAI AIRWAYS INT?L PUBLIC CO.,LTD.",THAILAND,TG
33,232,MALAYSIA AIRLINES SYSTEM BERHAD,MALAYSIA,MH
34,235,TURKISH AIRLINES INC.,TURKEY,TK
35,244,AIR TAHITI NUI,TAHITI,TN
36,250,UZBEKISTAN AIRWAYS,UZBEKISTAN,HY
37,257,AUSTRIAN AIRLINES AG,AUSTRIA,OS
38,260,AIR PACIFIC,FIJI,FJ
39,285,ROYAL NEPAL AIRLINES CORP.,NEPAL,RA
40,288,AHK AIR HONG KONG LTD.,HONG KONG,LD
41,289,MIAT-MONGOLIAN AIRLINES,MONGOLIA,OM
42,297,CHINA AIRLINES LTD,TAIWAN,CI
43,403,POLAR AIR CARGO INC.,UNITED STATES,PO
44,406,UNITED PARCEL,UNITED STATES,5X
45,555,AEROFLOT RUSSIAN AIRLINES,RUSSIA,SU
46,560,DALAVIA FAR EAST AIRWAYS,RUSSIA,H8
47,603,SRILANKAN AIRLINES LTD.,SRI LANKA,UL
48,618,SINGAPORE AIRLINES LTD.,SINGAPORE,SQ
49,656,AIR NIUGINI PTY LTD.,NIUGINI,PX
50,688,"JAPAN ASIA AIRWAYS CO., LTD.",JAPAN,EG
51,695,EVA AIRWAYS CORP.,TAIWAN,BR
52,724,SWISS INT?L AIR LINES LTD.,SWITZERLAND,LX
53,738,VIETNAM AIRLINES,VIETNAM,VN
54,768,"AIR NIPPON CO., LTD.",JAPAN,EL
55,774,"SHANGHAI AIRLINES CO., LTD.",CHINA,FM
56,781,CHINA EASTERN AIRLINES,CHINA,MU
57,784,CHINA SOUTHERN AIRLINES,CHINA,CZ
58,932,VIRGIN ATLANTIC,UNITED KINGDOM,VS
59,933,NIPPON CARGO AIRLINES,JAPAN,KZ
60,988,ASIANA AIRLINES INC.,KOREA,OZ
61,999,AIR CHINA LTD.,CHINA,CA
1,1,AMERICAN AIRLINES INC.,UNITED STATES,AA
2,5,"CONTINENTAL AIRLINES, INC.",UNITED STATES,CO
3,6,"DELTA AIR LINES, INC.",UNITED STATES,DL
4,12,"NORTHWEST AIRLINES, INC.",UNITED STATES,NW
5,14,AIR CANADA,CANADA,AC
6,16,"UNITED AIRLINES, INC.",UNITED STATES,UA
7,20,LUFTHANSA CARGO AG.,GERMANY,LH
8,23,FEDEX,UNITED STATES,FX
9,43,HONG KONG DRAGON AIRLINES LIMITED.,HONG KONG,KA
10,55,ALITALIA-COMPAGNIA AEREA ITALIANA S.P.,ITALY,AZ
11,57,AIR FRANCE,FRANCE,AF
12,63,AIR CALEDONIE INTERNATIONAL,CALEDONIA,SB
13,74,KLM ROYAL DUTCH AIRLINES,NETHERLANDS,KL
14,77,EGYPTAIR,EGYPT,MS
15,79,"PHILIPPINE AIRLINES, INC.",PHILIPPINES,PR
16,81,QANTAS AIRWAYS LTD.,AUSTRALIA,QF
17,86,AIR NEW ZEALAND LTD.,NEW ZEALAND,NZ
18,96,IRAN-AIR,IRAN,IR
19,98,AIR INDIA LTD.,INDIA,AI
20,105,FINNAIR O/Y,FINLAND,AY
21,117,SCANDINAVIAN AIRLINES SYSTEM(SAS),SWEDEN,SK
22,125,BRITISH AIRWAYS P.L.C.,UNITED KINGDOM,BA
23,126,GARUDA INDONESIA,INDONESIA,GA
24,131,JAPAN AIRLINES CO. LTD,JAPAN,JL
25,139,AEROMEXICO,MEXICO,AM
26,160,CATHAY PACIFIC AIRWAYS LTD.,CHINA,CX
27,172,CARGOLUX AIRLINES INT?L S.A.,LUXEMBURG,CV
28,176,EMIRATES SKY CARGO,U.A.E.,EK
29,180,"KOREAN AIR LINES CO.,LTD.",KOREA,KE
30,205,"ALL NIPPON AIRWAYS CO., LTD.",JAPAN,NH
31,214,PAKISTAN INT?L AIRLINES,PAKISTAN,PK
32,217,"THAI AIRWAYS INT?L PUBLIC CO.,LTD.",THAILAND,TG
33,232,MALAYSIA AIRLINES SYSTEM BERHAD,MALAYSIA,MH
34,235,TURKISH AIRLINES INC.,TURKEY,TK
35,244,AIR TAHITI NUI,TAHITI,TN
36,250,UZBEKISTAN AIRWAYS,UZBEKISTAN,HY
37,257,AUSTRIAN AIRLINES AG,AUSTRIA,OS
38,260,AIR PACIFIC,FIJI,FJ
39,285,ROYAL NEPAL AIRLINES CORP.,NEPAL,RA
40,288,AHK AIR HONG KONG LTD.,HONG KONG,LD
41,289,MIAT-MONGOLIAN AIRLINES,MONGOLIA,OM
42,297,CHINA AIRLINES LTD,TAIWAN,CI
43,403,POLAR AIR CARGO INC.,UNITED STATES,PO
44,406,UNITED PARCEL,UNITED STATES,5X
45,555,AEROFLOT RUSSIAN AIRLINES,RUSSIA,SU
46,560,DALAVIA FAR EAST AIRWAYS,RUSSIA,H8
47,603,SRILANKAN AIRLINES LTD.,SRI LANKA,UL
48,618,SINGAPORE AIRLINES LTD.,SINGAPORE,SQ
49,656,AIR NIUGINI PTY LTD.,NIUGINI,PX
50,688,"JAPAN ASIA AIRWAYS CO., LTD.",JAPAN,EG
51,695,EVA AIRWAYS CORP.,TAIWAN,BR
52,724,SWISS INT?L AIR LINES LTD.,SWITZERLAND,LX
53,738,VIETNAM AIRLINES,VIETNAM,VN
54,768,"AIR NIPPON CO., LTD.",JAPAN,EL
55,774,"SHANGHAI AIRLINES CO., LTD.",CHINA,FM
56,781,CHINA EASTERN AIRLINES,CHINA,MU
57,784,CHINA SOUTHERN AIRLINES,CHINA,CZ
58,932,VIRGIN ATLANTIC,UNITED KINGDOM,VS
59,933,NIPPON CARGO AIRLINES,JAPAN,KZ
60,988,ASIANA AIRLINES INC.,KOREA,OZ
61,999,AIR CHINA LTD.,CHINA,CA
1,1,AMERICAN AIRLINES INC.,UNITED STATES,AA
2,5,"CONTINENTAL AIRLINES, INC.",UNITED STATES,CO
3,6,"DELTA AIR LINES, INC.",UNITED STATES,DL
4,12,"NORTHWEST AIRLINES, INC.",UNITED STATES,NW
5,14,AIR CANADA,CANADA,AC
6,16,"UNITED AIRLINES, INC.",UNITED STATES,UA
7,20,LUFTHANSA CARGO AG.,GERMANY,LH
8,23,FEDEX,UNITED STATES,FX
9,43,HONG KONG DRAGON AIRLINES LIMITED.,HONG KONG,KA
10,55,ALITALIA-COMPAGNIA AEREA ITALIANA S.P.,ITALY,AZ
11,57,AIR FRANCE,FRANCE,AF
12,63,AIR CALEDONIE INTERNATIONAL,CALEDONIA,SB
13,74,KLM ROYAL DUTCH AIRLINES,NETHERLANDS,KL
14,77,EGYPTAIR,EGYPT,MS
15,79,"PHILIPPINE AIRLINES, INC.",PHILIPPINES,PR
16,81,QANTAS AIRWAYS LTD.,AUSTRALIA,QF
17,86,AIR NEW ZEALAND LTD.,NEW ZEALAND,NZ
18,96,IRAN-AIR,IRAN,IR
19,98,AIR INDIA LTD.,INDIA,AI
20,105,FINNAIR O/Y,FINLAND,AY
21,117,SCANDINAVIAN AIRLINES SYSTEM(SAS),SWEDEN,SK
22,125,BRITISH AIRWAYS P.L.C.,UNITED KINGDOM,BA
23,126,GARUDA INDONESIA,INDONESIA,GA
24,131,JAPAN AIRLINES CO. LTD,JAPAN,JL
25,139,AEROMEXICO,MEXICO,AM
26,160,CATHAY PACIFIC AIRWAYS LTD.,CHINA,CX
27,172,CARGOLUX AIRLINES INT?L S.A.,LUXEMBURG,CV
28,176,EMIRATES SKY CARGO,U.A.E.,EK
29,180,"KOREAN AIR LINES CO.,LTD.",KOREA,KE
30,205,"ALL NIPPON AIRWAYS CO., LTD.",JAPAN,NH
31,214,PAKISTAN INT?L AIRLINES,PAKISTAN,PK
32,217,"THAI AIRWAYS INT?L PUBLIC CO.,LTD.",THAILAND,TG
33,232,MALAYSIA AIRLINES SYSTEM BERHAD,MALAYSIA,MH
34,235,TURKISH AIRLINES INC.,TURKEY,TK
35,244,AIR TAHITI NUI,TAHITI,TN
36,250,UZBEKISTAN AIRWAYS,UZBEKISTAN,HY
37,257,AUSTRIAN AIRLINES AG,AUSTRIA,OS
38,260,AIR PACIFIC,FIJI,FJ
39,285,ROYAL NEPAL AIRLINES CORP.,NEPAL,RA
40,288,AHK AIR HONG KONG LTD.,HONG KONG,LD
41,289,MIAT-MONGOLIAN AIRLINES,MONGOLIA,OM
42,297,CHINA AIRLINES LTD,TAIWAN,CI
43,403,POLAR AIR CARGO INC.,UNITED STATES,PO
44,406,UNITED PARCEL,UNITED STATES,5X
45,555,AEROFLOT RUSSIAN AIRLINES,RUSSIA,SU
46,560,DALAVIA FAR EAST AIRWAYS,RUSSIA,H8
47,603,SRILANKAN AIRLINES LTD.,SRI LANKA,UL
48,618,SINGAPORE AIRLINES LTD.,SINGAPORE,SQ
49,656,AIR NIUGINI PTY LTD.,NIUGINI,PX
50,688,"JAPAN ASIA AIRWAYS CO., LTD.",JAPAN,EG
51,695,EVA AIRWAYS CORP.,TAIWAN,BR
52,724,SWISS INT?L AIR LINES LTD.,SWITZERLAND,LX
53,738,VIETNAM AIRLINES,VIETNAM,VN
54,768,"AIR NIPPON CO., LTD.",JAPAN,EL
55,774,"SHANGHAI AIRLINES CO., LTD.",CHINA,FM
56,781,CHINA EASTERN AIRLINES,CHINA,MU
57,784,CHINA SOUTHERN AIRLINES,CHINA,CZ
58,932,VIRGIN ATLANTIC,UNITED KINGDOM,VS
59,933,NIPPON CARGO AIRLINES,JAPAN,KZ
60,988,ASIANA AIRLINES INC.,KOREA,OZ
61,999,AIR CHINA LTD.,CHINA,CA
1,1,AMERICAN AIRLINES INC.,UNITED STATES,AA
2,5,"CONTINENTAL AIRLINES, INC.",UNITED STATES,CO
3,6,"DELTA AIR LINES, INC.",UNITED STATES,DL
4,12,"NORTHWEST AIRLINES, INC.",UNITED STATES,NW
5,14,AIR CANADA,CANADA,AC
6,16,"UNITED AIRLINES, INC.",UNITED STATES,UA
7,20,LUFTHANSA CARGO AG.,GERMANY,LH
8,23,FEDEX,UNITED STATES,FX
9,43,HONG KONG DRAGON AIRLINES LIMITED.,HONG KONG,KA
10,55,ALITALIA-COMPAGNIA AEREA ITALIANA S.P.,ITALY,AZ
11,57,AIR FRANCE,FRANCE,AF
12,63,AIR CALEDONIE INTERNATIONAL,CALEDONIA,SB
13,74,KLM ROYAL DUTCH AIRLINES,NETHERLANDS,KL
14,77,EGYPTAIR,EGYPT,MS
15,79,"PHILIPPINE AIRLINES, INC.",PHILIPPINES,PR
16,81,QANTAS AIRWAYS LTD.,AUSTRALIA,QF
17,86,AIR NEW ZEALAND LTD.,NEW ZEALAND,NZ
18,96,IRAN-AIR,IRAN,IR
19,98,AIR INDIA LTD.,INDIA,AI
20,105,FINNAIR O/Y,FINLAND,AY
21,117,SCANDINAVIAN AIRLINES SYSTEM(SAS),SWEDEN,SK
22,125,BRITISH AIRWAYS P.L.C.,UNITED KINGDOM,BA
23,126,GARUDA INDONESIA,INDONESIA,GA
24,131,JAPAN AIRLINES CO. LTD,JAPAN,JL
25,139,AEROMEXICO,MEXICO,AM
26,160,CATHAY PACIFIC AIRWAYS LTD.,CHINA,CX
27,172,CARGOLUX AIRLINES INT?L S.A.,LUXEMBURG,CV
28,176,EMIRATES SKY CARGO,U.A.E.,EK
29,180,"KOREAN AIR LINES CO.,LTD.",KOREA,KE
30,205,"ALL NIPPON AIRWAYS CO., LTD.",JAPAN,NH
31,214,PAKISTAN INT?L AIRLINES,PAKISTAN,PK
32,217,"THAI AIRWAYS INT?L PUBLIC CO.,LTD.",THAILAND,TG
33,232,MALAYSIA AIRLINES SYSTEM BERHAD,MALAYSIA,MH
34,235,TURKISH AIRLINES INC.,TURKEY,TK
35,244,AIR TAHITI NUI,TAHITI,TN
36,250,UZBEKISTAN AIRWAYS,UZBEKISTAN,HY
37,257,AUSTRIAN AIRLINES AG,AUSTRIA,OS
38,260,AIR PACIFIC,FIJI,FJ
39,285,ROYAL NEPAL AIRLINES CORP.,NEPAL,RA
40,288,AHK AIR HONG KONG LTD.,HONG KONG,LD
41,289,MIAT-MONGOLIAN AIRLINES,MONGOLIA,OM
42,297,CHINA AIRLINES LTD,TAIWAN,CI
43,403,POLAR AIR CARGO INC.,UNITED STATES,PO
44,406,UNITED PARCEL,UNITED STATES,5X
45,555,AEROFLOT RUSSIAN AIRLINES,RUSSIA,SU
46,560,DALAVIA FAR EAST AIRWAYS,RUSSIA,H8
47,603,SRILANKAN AIRLINES LTD.,SRI LANKA,UL
48,618,SINGAPORE AIRLINES LTD.,SINGAPORE,SQ
49,656,AIR NIUGINI PTY LTD.,NIUGINI,PX
50,688,"JAPAN ASIA AIRWAYS CO., LTD.",JAPAN,EG
51,695,EVA AIRWAYS CORP.,TAIWAN,BR
52,724,SWISS INT?L AIR LINES LTD.,SWITZERLAND,LX
53,738,VIETNAM AIRLINES,VIETNAM,VN
54,768,"AIR NIPPON CO., LTD.",JAPAN,EL
55,774,"SHANGHAI AIRLINES CO., LTD.",CHINA,FM
56,781,CHINA EASTERN AIRLINES,CHINA,MU
57,784,CHINA SOUTHERN AIRLINES,CHINA,CZ
58,932,VIRGIN ATLANTIC,UNITED KINGDOM,VS
59,933,NIPPON CARGO AIRLINES,JAPAN,KZ
60,988,ASIANA AIRLINES INC.,KOREA,OZ
61,999,AIR CHINA LTD.,CHINA,CA
